#Date		All	Fix	All-minus-Fix
2009-10-14	924	267	657	89fec27274af0359d0655073ea6aa43c26bdc9f7
2009-10-21	933	270	663	29d7d2babf6d6ca0275268b46ed6ee27f11e49b1
2009-10-29	956	279	677	cc14441b325eb41dab6c4b5f2413844399834354
2009-11-03	964	283	681	7b981d1dcf1521a9a590211489f6a8205bc5d256
2009-11-09	975	285	690	71cbf189540d8a763dc4399124de3cf51b94de37
2009-11-18	998	294	704	b2d6c3d8a249f54a425d8428c73e69df5628890b
2009-11-30	1015	301	714	ada78ac580bb9ab7fd4a87c200e86731a2329215
2009-12-05	1015	301	714	3cee4d2d78045d6ace6cc1bb636fafd3c4a86128
2009-12-11	1015	301	714	6144da96d90a6c1a92d2a8f88f862afdf984938a
2009-12-12	1015	301	714	ad1f528ddca8eedfdb43eaf3a1a7840870699335
2009-12-16	1015	301	714	523f898265fa45cf2baa85f53263941173f08682
2009-12-20	1024	307	717	307fea373a1cff71c32784fa0140f25f5fc0817f
2009-12-29	1037	312	725	d52026ed7895bb8c6d262135d876090693c7b010
2010-01-13	1037	312	725	61177aa38f05a7229ce42e04fb0940001cce1ef1
2010-01-25	1056	318	738	a941390f3ca582234d16ba1e5b2a595322331d43
2010-02-02	1061	318	743	3246d02d8ed4eba5730b80613f4db762ea314d35
2010-02-08	1074	325	749	d302a94849a38f18e467f54b6a8c54f712caf581
2010-02-16	1084	328	756	9273118195ec38c1f5631d39509a436b56d60bd4
2010-02-19	1087	328	759	43f29d3b4607344ada739926f1dd6145210bc986
2010-02-23	1094	328	766	8d87620be5ee504c56c611dc38a11a7693befa35
2010-02-28	1094	328	766	ed4c6c625170772001bfd6c74ba2121d1380bbdc
2010-03-09	1094	328	766	722f56186d48f5d34ae41105374e77af96055438
2010-03-10	1123	341	782	852552cc41ed313eb5f86214f289fc8388933e8d
2010-03-13	1123	341	782	65dda4f6325071d2949650818063f7b5cefcf061
2010-03-16	1137	345	792	d72e9f9017b0dd5db8fd49e397deffd465f68a75
2010-03-20	1155	348	807	613b6e581271cbf5145602c8526d9736c43d5507
2010-03-25	1173	350	823	864acf93794aaa0651c4d3b2fb53d7cc5fc20a9e
2010-04-19	1180	353	827	327b45ad605caadc3b85aa72d9759229c3424607
2010-05-05	1192	357	835	b84562e688877320b8fe25bc2f435b08fcc6c9b8
2011-08-24	1192	357	835	47be799ff95990002c120b5d7390fa8456b457b3
2010-03-29	1215	362	853	1250fcecc2152852e39445a8e82a6a3232739691
2010-04-06	1227	365	862	b2ae4a9df180318fa2c3791ff798392382a13da8
2010-04-13	1235	368	867	efb48668c4a170475361cb1826e1298f37648039
2010-04-23	1249	373	876	2dc433edfa9e9a081206bfa60cb591f68732b03d
2010-04-25	1249	373	876	2faa3b70138f5f938ca7515a87162f4ea1a29629
2010-04-28	1249	373	876	3f710fac01e26774443b118ab6855faaad652086
2010-05-11	1258	380	878	91c7b48f3f447929a269dd4663c82251fba3c5b4
2010-05-14	1258	380	878	fcb5f0ad6ea1b1fcf4a0603510387ef19301ea8b
2010-05-16	1261	381	880	32d6df42fb325676c4b43f10aae0684643368872
2010-05-18	1261	381	880	e6c7c8a6b394c98df9ec769ef40364079d606c74
2010-05-25	1285	385	900	7a536a4093b999f4cfa33f4f2649ac94bef6523c
2010-05-28	1300	386	914	2ba978009f6a647d73f6805b390bc281b541f993
2010-06-01	1313	391	922	99cd5f6d7be75b2de1c8b241b468316e381e6992
2010-06-04	1326	396	930	7c5337bc262e561e11599644cb9ee0ed21fc9e70
2010-06-09	1343	398	945	f70fd071f30bc062743465add999e6175df540b3
2010-06-11	1354	398	956	22bd3a65a9493b929f7c63a706f8229ebc514e25
2010-06-27	1368	405	963	cc76caf049e8063f3e805f12dc88f33b406f90e5
2010-07-07	1384	409	975	9ba1b46c1e3cec46c03d4c5a741e07fe610954d0
2010-07-20	1404	414	990	77cb3c6d7196a8e3a2f89877a25819a4ff821575
2010-07-27	1416	416	1000	a4babb360c2b8e7a8b10bf9b79cbbf3aef5e6f53
2010-08-03	1416	416	1000	90e0af7a6635b4f764828792b50f1f841d33fdf9
2010-08-09	1428	420	1008	90cde36534dfec30709adfb06bc6c18327989b7c
2010-08-12	1436	422	1014	0a1cc42eeb22fc73084985bd83b2c288e3281304
2010-08-17	1447	427	1020	9ce6fc8f0c83ec98723d04433cdf06f919ac138b
2010-08-23	1461	434	1027	093163447c4983c74a541d54349c62a71fa1436d
2010-08-28	1471	437	1034	7121f0bb9f7d064f220b3f6b923831e7174b4e71
2010-09-03	1492	452	1040	3da9f5129e78a37789d98d3bb00604bf2a9cb626
2010-09-10	1513	459	1054	2288cab28547d05261f93146b9c9ce9ba7019d5b
2010-09-17	1528	464	1064	7c9b2296bdd846ec5542ee18c77cf89e2a0a3d9a
2010-09-28	1555	470	1085	3b689709233e3ed66e26d01ce6f8c42390228ce2
2010-10-03	1562	473	1089	84f18d13f3cdbed4dab7a60fe1217d8cc90af79e
2010-10-08	1580	478	1102	0458c25e70d3dfcdc41f68d4d31d1ebc261d2b72
2010-10-14	1587	480	1107	7eb3a704bb8eab8176f1b3329f274bb1b1c5df37
2010-10-23	1587	480	1107	800cf68e034acffb7b73bd3de11bc761293f9b12
2010-10-27	1610	488	1122	368fa726b123d14af91d2e2c239afe0f123926f8
2010-10-29	1620	493	1127	b56674fd7c89e5fb7d5660f7d292d4ef6c4c985f
2010-10-30	1628	497	1131	06d054d2a2d829a4460bb217ba166fbbbcd372c7
2010-11-05	1628	497	1131	7f0df184b5261e0c156073954158cc312df6e899
2010-11-12	1652	505	1147	620523610321076a20214325dc67e6840cf097f5
2010-11-19	1663	509	1154	a81afce206c14ec5487ad88cb327f745a7ef1d24
2010-11-22	1669	514	1155	ca108f4cb70cd8b8c3d2aa7911d7ff3cb07b9fc2
2010-11-29	1683	519	1164	1c6f190a073b2ed71ed9190bf246d225e95e537a
2010-12-14	1713	529	1184	51d387b08771e078c5618fabc3589d353db0730e
2010-12-25	1730	535	1195	b83564f1335cb14cce7ff831cdfe41e019b239f3
2011-01-04	1742	539	1203	8ed0742d409829370ec01f8b278fe6e359ab927a
2011-01-06	1742	539	1203	0f8f3d0bc9618af1e7841bdf2b6cd020039dbc6f
2011-01-11	1770	546	1224	f9c86874b03a2f5989eb23b3d4ce1bff35b90a3e
2011-01-14	1781	550	1231	050ef7349ad54bb5650d51bbe51cf04c0d4d2842
2011-01-19	1801	557	1244	005dedf0b57437e7d23ea90a4d3355ca27ba8c3b
2011-01-26	1825	565	1260	156b4c797b7d0d7d625c2cea841228fb65489031
2011-02-04	1867	579	1288	21977c8ac97c212033fd86c578bd072f886b7128
2011-02-10	1880	589	1291	35a17f790f895292502b90d8a833e0bd7706c15e
2011-02-18	1896	594	1302	634c260869686f1f79900e11da5dae9c146c7483
2011-02-23	1906	597	1309	a8181d0f9618eca03754c6c91e76dbedc4f2b076
2011-03-03	1926	608	1318	9584bd9e9adf84422eddc4a9e8711b478e66b98a
2011-03-10	1938	615	1323	d97387122f2db53739cb4818b34a5d19e0222c9d
2011-03-16	1938	615	1323	ebbf0d3e72eea6976bd46a329cc38630829c162a
2011-03-20	1951	622	1329	b652da050c7a4886bd28d025f1e2541816e9c276
2011-03-25	1951	622	1329	965a54c7c5e28be497f0ff1501acec47d1cb2ffe
2011-03-29	1963	626	1337	9393922f9aa101868d3879afb5497168b4bd959b
2011-03-31	1963	626	1337	4e14770a6153f13da467cbc43bc47113d9d8d302
2011-04-04	1963	626	1337	1a540d6b566d316b31c0f521aa5a3d9ba257c851
2011-04-10	1980	633	1347	74cf1fc68f1578d26d1820f25f4e8c2aaf6c99dd
2011-04-19	1980	633	1347	8593e9b076802177c5eb3ed66b178bf922cdc65d
2011-05-02	1980	633	1347	43067f39ae6ff3765403978961d508c2601ddc88
2011-05-10	1997	636	1361	e739cbd4144cc89469147b6ade77beb81a352905
2011-05-13	2005	639	1366	f7cf736fb854dca11844efdb594fccbb2b28b3f0
2011-05-16	2009	639	1370	848a35c033f1f8df2bd9a474c731eaee8e24a874
2011-05-20	2009	639	1370	8a4abe5bc18f26ae28a27eecbbc0137e65cc2163
2011-05-21	2012	639	1373	9deb3e2d6450f7c8f8239a8cb81af8150aaab2e0
2011-05-23	2018	640	1378	4aed7892428d40e480b071d0b539e0e8cc77594b
2011-05-25	2030	645	1385	792f7b4b3dedf92f430ffe97241c370b2ef2b7a5
2011-05-27	2036	648	1388	4631cfc72de4500503f368338e300e9b551d5f5e
2011-06-03	2053	658	1395	4f7864230b483fea177af462d08b8444f42cdee1
2011-06-12	2070	663	1407	3fb1d98ab0eb6bdae3d57601f936c570d672052e
2011-06-20	2083	669	1414	219687fb6b95302691d735cd711938f224fc50a7
2011-06-30	2093	673	1420	542ac631681d2a5536620f0aa22be393a371b187
2011-07-07	2111	682	1429	2cdae2d032bcdc1514501f2dc7eb5551b005d9c6
2011-07-13	2121	688	1433	322c70f15e5e87e7fe8f0b260130a6df6e98649a
2011-07-16	2121	688	1433	04c3b5dd66acc64e347be4647a69f1ef775e8211
2011-07-18	2124	688	1436	dee2551af086473e1fc7191bab65ee0a8f3d00cd
2011-07-22	2124	688	1436	c98dfe3027676c4c89dd9d59d44c32f38139c65c
2011-07-24	2129	689	1440	6af1d72ce53c5a398b00c34cfffb868fba754533
2011-07-28	2129	689	1440	9cb264a17756cfe16451a3c674135d3f0d35e800
2011-08-05	2154	703	1451	34f68e5b4b234838bc8a745330ffb33570f092b8
2011-08-06	2154	703	1451	8c2b57b35d0d83348dd270c7ee3fba6aaefde376
2011-08-12	2174	709	1465	26a4b394b3785bc9bc53d12ab1d3ac996e5f04d1
2011-08-29	2188	718	1470	15be65fd153a3c45c601ec432effe351b1727b91
2011-09-18	2212	729	1483	72331f2221dca1dfd3e078fbac3d6a6b873fed43
2011-09-18	2212	729	1483	39e84638b5206c4bdf6a77932c243501b3c6c034
2011-09-21	2232	740	1492	86f1e5e85d81c8f15dbbcc03a4dc5b57ab9b775d
2011-09-28	2238	744	1494	cc395fbe7995d56b3e89c54768847d950f647855
2011-10-04	2248	745	1503	7b652d8466dfbff0326dcf551f6152ea1f6b40c1
